date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-18 23:59:42,NBCDFW,,10,5,43,"A few hundred protest COVID-19 orders at Texas Capitol --&gt; http://on.nbcdfw.com/1hVlB2o",,,,1251661715265204230,https://twitter.com/NBCDFW/status/1251661715265204230
2020-04-18 23:59:10,efan19572000,,0,0,0,"Deadliest week so far in Central Texas for COVID-19 ",,,,1251661583136292864,https://twitter.com/efan19572000/status/1251661583136292864
2020-04-18 23:57:06,tdtnews,,0,0,0,"Driving Hope of Texas, a young nonprofit that drives non-emergency patients to the hospital, is trying to outlast the COVID-19 pandemic. ",,,,1251661060760907777,https://twitter.com/tdtnews/status/1251661060760907777
2020-04-18 23:53:35,markmakes,,21,29,160,"This one definitely takes the cake for absolute dumbest human being right now. #COVID #texas #protests",,,#COVID #texas #protests,1251660176098316293,https://twitter.com/markmakes/status/1251660176098316293
2020-04-18 23:52:24,Sharon96727956,Sharon96727956,0,0,0,"This was Dr. Michael Burgess, a member of the House of Representatives from Texas, telling Jon Scott tonight that Congress knew about COVID-19 in early Feb., but failed to address it! Then Pelosi took ppl to Chinatown on Feb. 24th. And yet the Dems. want to blame @POTUS ?",,@POTUS,,1251659878290149377,https://twitter.com/Sharon96727956/status/1251659878290149377
2020-04-18 23:52:19,ChrisCBlake,,0,1,1,"A Few Hundred Protest COVID-19 Orders at Texas Capitol ",,,,1251659857264029697,https://twitter.com/ChrisCBlake/status/1251659857264029697
2020-04-18 23:52:15,ThisBlogs,,0,0,0,"A Few Hundred Protest COVID-19 Orders at Texas Capitol https://thisblogs.com/a-few-hundred-protest-covid-19-orders-at-texas-capitol/",,,,1251659840352669697,https://twitter.com/ThisBlogs/status/1251659840352669697
2020-04-18 23:51:47,gavinkondo,James_Barragan,0,0,0,"On behalf of everyone sane who lives in Texas, I apologize sincerely. #COVIDIOT #Covid_19 #Texas ",,,#COVIDIOT #Covid_19 #Texas,1251659724308840449,https://twitter.com/gavinkondo/status/1251659724308840449
2020-04-18 23:50:59,KyReeDFincher,DaBabyDaBaby,0,0,6,"COVID: The Texas Gov: ",,,,1251659523393294336,https://twitter.com/KyReeDFincher/status/1251659523393294336
2020-04-18 23:48:04,jingalin_kush,,0,0,0,"Nope nope nope going to suggest they raise the per hour payment for nurses in Texas, if there’s spike in #Covid_19 in a week from now, we have to find a way to drive the point across to these inept individuals.",,,#Covid_19,1251658789985693696,https://twitter.com/jingalin_kush/status/1251658789985693696
2020-04-18 23:47:42,ann177345,,1,0,7,"#Beautiful Texas #weather for an afternoon run... #Gorgeous sky... What a #blessing!... Perhaps, the calm before tomorrow's rain storms... #SaturdayThoughts #StayHome #COVID #outdoors #nature",,,#Beautiful #weather #Gorgeous #blessing #SaturdayThoughts #StayHome #StayHome #COVID #outdoors #nature,1251658697761267712,https://twitter.com/ann177345/status/1251658697761267712
2020-04-18 23:46:52,KattPage,nytimes,0,0,1,"What a dire save the date for Texans. @GregAbbott_TX plans to reopen parts of Texas on 04-24, it will take until around 05-15 for the data to catch up and the #COVID positive Texans is going to skyrocket. Our lives mean nothing to these people. ",,@GregAbbott_TX,#COVID,1251658488423624705,https://twitter.com/KattPage/status/1251658488423624705
2020-04-18 23:44:42,nhdogmom,,0,5,7,"Texas judge rules to greatly expand absentee balloting during COVID-19 pandemic. https://slate.com/news-and-politics/2020/04/texas-coronavirus-pandemic-voting-rights.html via @slate",,@Slate,,1251657939838021633,https://twitter.com/nhdogmom/status/1251657939838021633
2020-04-18 23:43:31,22Bossk,,0,0,2,"@realDonaldTrump @TheCollectiveQ Shout out to the Great Citizens of Texas. God Bless America!!! #COVID #QAnon #QANONWORLDWIDE #WWG1WGA #WWG1WGAWORLDWIDE #ForGodAndCountry",,@realDonaldTrump @TheCollectiveQ,#COVID #QAnon #QANONWORLDWIDE #WWG1WGA #WWG1WGAWORLDWIDE #ForGodAndCountry,1251657643657236480,https://twitter.com/22Bossk/status/1251657643657236480
2020-04-18 23:43:28,enmvh,NBCNews,1,0,0,"So Texas has over 18000 confirmed cases, less than 5000 recovered, and over 450 deaths. I wonder how many they lost to Covid today? I wonder how many new cases they will get after their self-expression protest. I wonder if the ones that get sick will think it was worth it?",,,,1251657630373736449,https://twitter.com/enmvh/status/1251657630373736449
2020-04-18 23:41:30,ncj537,,0,1,1,"‘Fire Fauci, let us work’: No social distancing as Alex Jones joins hundreds in rally against Covid-19 lockdown measures in Texas — RT USA News ",,,,1251657135538294785,https://twitter.com/ncj537/status/1251657135538294785
2020-04-18 23:41:15,kojiroike,,0,0,1,"‘Fire Fauci, let us work’: No social distancing as Alex Jones joins hundreds in rally against Covid-19 lockdown measures in Texas — RT USA News https://www.rt.com/usa/486227-alex-jones-coronavirus-austin-protest/",,,,1251657070807355394,https://twitter.com/kojiroike/status/1251657070807355394
2020-04-18 23:40:43,HeddaHopper3,,0,0,0,"Texas woman calls COVID-19 a hoax. She is now dead from her willful ignorance. ",,,,1251656937034350592,https://twitter.com/HeddaHopper3/status/1251656937034350592
2020-04-18 23:40:37,placido_galante,NorbertElekes,1,0,0,"In Texas ce l’hanno con Fauci ed il lockdown #TexasStrong #coronarvirusitalia #StayHome #COVID #Fauci #TrumpPressConference #ripartenza",,,#TexasStrong #coronarvirusitalia #StayHome #StayHome #COVID #Fauci #TrumpPressConference #ripartenza,1251656912107720704,https://twitter.com/placido_galante/status/1251656912107720704
2020-04-18 23:40:29,theVickyR,PMBreakingNews,0,0,1,"Texas residents protesting the #lockdown of #COVID virus. https://twitter.com/PMBreakingNews/status/1251587927429337088?s=19 #COVIDー19 #Texas ",,,#lockdown #COVID #COVID #Texas,1251656878347751425,https://twitter.com/theVickyR/status/1251656878347751425
2020-04-18 23:39:13,JLukup,,1,0,1,"Covid-19 di benua Amerika: Demonstrasi menuntut diakhirinya 'tinggal di rumah' terkait wabah Covid-19 meluas ke Texas. Brazil dan Kanada masih melaporkan tambahan korban jiwa dlm jumlah besar. Berikut posisi di benua Amerika per 18 April: ",,,,1251656561543376896,https://twitter.com/JLukup/status/1251656561543376896
2020-04-18 23:38:48,Jayrork,greggutfeld,0,0,1,"No one was saying ‘open Fuddruckers’! It’s more about infringing on certain rights that have nothing to do with covid- like those silly Texas Blue laws!",,,,1251656455134097408,https://twitter.com/Jayrork/status/1251656455134097408
2020-04-18 23:38:43,twocrowseeing,,0,0,0,"A few hundred protest COVID-19 orders at Texas Capitol https://www.chron.com/news/article/Protesters-to-meet-at-Texas-Capitol-over-15210070.php?utm_source=twitter.com&amp;utm_campaign=twitter&amp;utm_medium=referral&amp;utm_campaign=CMS%20Sharing%20Tools%20(Desktop)&amp;utm_source=t.co&amp;utm_medium=referral via @houstonchron",,@HoustonChron,,1251656433856393230,https://twitter.com/twocrowseeing/status/1251656433856393230
2020-04-18 23:36:45,ErinSal43163999,,0,0,0,"Adopt a Senior in La Porte Texas!!! High school seniors across the country are missing out on big milestones due to Covid-19. La Porte Texas lets do something positive for our seniors!!! https://www.facebook.com/groups/598979704026520/?ref=share",,,,1251655940132216832,https://twitter.com/ErinSal43163999/status/1251655940132216832
2020-04-18 23:36:34,Slate,,5,21,68,"Texas judge rules to greatly expand absentee balloting during COVID-19 pandemic. ",,,,1251655892627488769,https://twitter.com/Slate/status/1251655892627488769
2020-04-18 23:35:46,JonathanOchart,,0,0,1,"We haven’t reached our peak of #COVID cases yet here in #Texas, but @GregAbbott_TX is making plans to reopen the state for business soon. Does that render our current #socialdistancing efforts worthless?",,@GregAbbott_TX,#COVID #Texas #socialdistancing,1251655693888819202,https://twitter.com/JonathanOchart/status/1251655693888819202
2020-04-18 23:35:42,L00tPrime,Hasan_JF,0,0,2,"Dude you're basically doomed once the covid cases jumps up massively in Texas because of this shit.",,,,1251655674477436928,https://twitter.com/L00tPrime/status/1251655674477436928
2020-04-18 23:35:29,HamiltonJamesE,,0,0,0,"A few hundred protest COVID-19 orders at Texas Capitol https://www.expressnews.com/news/article/Protesters-to-meet-at-Texas-Capitol-over-15210070.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&amp;utm_source=t.co&amp;utm_medium=referral",,,,1251655621948121101,https://twitter.com/HamiltonJamesE/status/1251655621948121101
2020-04-18 23:34:49,jamieH2os_77,,0,0,0,"PHOTOS: A few hundred protest COVID-19 orders at Texas Capitol https://www.ksat.com/news/texas/2020/04/18/protesters-to-meet-at-texas-capitol-over-stay-at-home-orders/ That one guy in front is gonna shake hands w/ everyone, and his mask.",,,,1251655451974021121,https://twitter.com/jamieH2os_77/status/1251655451974021121
2020-04-18 23:34:37,BasedPaulski,HeartsOwls,2,0,0,"Texas is said to be lagging on the testing availability according to CNBC. Personal experience would force me to say otherwise. What state are you in? Maybe I can help you locate where to get tested for antibodies or if showing symptoms where to get COVID-19 tested.",,,,1251655403395600384,https://twitter.com/BasedPaulski/status/1251655403395600384
2020-04-18 23:31:44,apetivist,Scepticdust,2,0,2,"Uh, nope. Still Texas, and nobody Liberal or Atheist is safe here. Nobody that is high risk to Covid-19 is not safe here.",,,,1251654676250009602,https://twitter.com/apetivist/status/1251654676250009602
2020-04-18 23:31:23,gkuehn,WagsPhoto,0,0,1,"“You can’t close America”, le nouveau mot d’ordre des manifestants qui veulent accélérer la fin du confinement aux Etats-Unis. Ici, manifestants emmenés au Texas par l’animateur radio Alex Jones. @RTSinfo #coronavirus #Covid_19",,@RTSinfo,#coronavirus #Covid_19,1251654587989266432,https://twitter.com/gkuehn/status/1251654587989266432
2020-04-18 23:30:26,KXAN_News,,7,10,39,"WATCH SUNDAY: Gov. Abbott sees “glimmers” that the worst of COVID-19 is behind Texas but a top pandemic researcher warns the state is nowhere near being done. On this edition of State of Texas, we look closer at the promise and peril of reopening businesses. ",,,,1251654349677305857,https://twitter.com/KXAN_News/status/1251654349677305857
2020-04-18 23:30:00,OnTopMag,,0,0,0,"COVID-19 Kills Married Gay Couple In #Texas https://bit.ly/3alA362 #LGBT #coronavirus #covid19",,,#Texas #LGBT #coronavirus #covid19,1251654241208262657,https://twitter.com/OnTopMag/status/1251654241208262657
2020-04-18 23:27:30,GyneenL,TheTNHoller,0,0,1,"Austin, Texas? They’re going to create a hotspot of COVID-19 among themselves.",,,,1251653612759064576,https://twitter.com/GyneenL/status/1251653612759064576
2020-04-18 23:27:05,iHeartTT9,cjtruth,0,0,1,"Let’s get theirs names to ensure none are allowed in the Texas hospitals when they get COVID-19. They shouldn’t be allowed to put our nurses and other medical staff at risk because of THEIR CHOICES",,,,1251653509054894081,https://twitter.com/iHeartTT9/status/1251653509054894081
