date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-19 23:59:41,EdBaker3000,,0,0,0,"Media Manufactures Drama By Skewing Texas COVID Data | Stu Does America https://youtu.be/Y2go8sKR7hU via @YouTube",,@YouTube,,1262895733633679367,https://twitter.com/EdBaker3000/status/1262895733633679367
2020-05-19 23:58:44,tammybowman23,,0,0,0,"@realDonaldTrump . There is a female Doctor in Dallas Texas that you gave protocol too about the covid. Well Walgreens and other pharmacists are refusing to fill the prescription.",,@realDonaldTrump,,1262895494617083912,https://twitter.com/tammybowman23/status/1262895494617083912
2020-05-19 23:57:19,polls_unbiased,marceelias,0,0,1,"Do you agree that any voter who fears COVID-19 transmission should be allowed to vote absentee? #texas #TexasCOVID #vote2020",,,#texas #TexasCOVID #vote2020,1262895138281586689,https://twitter.com/polls_unbiased/status/1262895138281586689
2020-05-19 23:57:05,webAnalyste,,0,0,0,"Texas is reopening. What’s up with their COVID-19 numbers? http://dlvr.it/RWzZGb",,,,1262895079628238848,https://twitter.com/webAnalyste/status/1262895079628238848
2020-05-19 23:56:44,ejgarcia93,,0,0,0,"Texas church cancels masses following death of a possibly Covid-19 positive priest ",,,,1262894991711535104,https://twitter.com/ejgarcia93/status/1262894991711535104
2020-05-19 23:55:38,joethepopulist,tedcruz,1,0,5,"Wow. I’ll say what Donald used to— READ the MEMO not the headline. Plus, how does this help Texans? Last I checked we are still in a pandemic. Texas is on the bottom quartile in testing per capita. Hotspots of Covid everywhere. What’s your plan? More diversions?",,,,1262894714732384258,https://twitter.com/joethepopulist/status/1262894714732384258
2020-05-19 23:55:32,BrendaRuffin14,,0,0,0,"Texas church cancels masses after priest, 79, is suspected to have died from COVID-19 - as five other pa... #Topbuzz",,,#Topbuzz,1262894690699030530,https://twitter.com/BrendaRuffin14/status/1262894690699030530
2020-05-19 23:53:21,haaohaoo,,23,57,75,"""Where’s the mask? Where’s the gloves? Like nothing happened"" Alarming footage shows shopping mall crowds ignoring social distancing in Texas, where COVID-19 cases have spiked since reopening @nowthisnews",,@nowthisnews,,1262894141702365186,https://twitter.com/haaohaoo/status/1262894141702365186
2020-05-19 23:52:59,CappsRex,,0,0,0,"Media Manufactures Drama By Skewing Texas COVID Data | Stu Does America https://youtu.be/Y2go8sKR7hU via @YouTube",,@YouTube,,1262894049427689474,https://twitter.com/CappsRex/status/1262894049427689474
2020-05-19 23:52:57,IAlien51,,0,0,0,"‘Where’s the mask? Where’s the gloves? Like nothing happened.’ — Alarming footage shows shopping mall crowds ignoring social distancing in Texas, where COVID-19 cases have spiked since reopening ",,,,1262894043035549696,https://twitter.com/IAlien51/status/1262894043035549696
2020-05-19 23:52:41,Dakota05936028,,0,0,0,"Media Manufactures Drama By Skewing Texas COVID Data | Stu Does America https://youtu.be/Y2go8sKR7hU via @YouTube",,@YouTube,,1262893974072803330,https://twitter.com/Dakota05936028/status/1262893974072803330
2020-05-19 23:52:19,Ginevrafair,sibersong,0,0,2,"Good! I kept calling the registrar’s office...”I am afraid to go out during Covid. Can I vote absentee?” Answer: It hasn’t been decided yet. I called every day for a couple of weeks. Never told them I was from Oregon. My Texas drawl was spot on. ",,,,1262893882137694209,https://twitter.com/Ginevrafair/status/1262893882137694209
2020-05-19 23:49:15,txpoliticjunkie,,1,2,1,"Fake news dishonest democrat tool CNN misleads the public once again. The COVID 'Spike' in Reopened Texas: CNN Gets It Wrong https://www.realclearpolitics.com/articles/2020/05/19/the_covid_spike_in_reopened_texas_cnn_gets_it_wrong_143239.html #PresidentPlump",,,#PresidentPlump,1262893107949027330,https://twitter.com/txpoliticjunkie/status/1262893107949027330
2020-05-19 23:47:20,jaracingagain,EllieRushing,0,0,0,"Let convicted criminals out of jail for fear of covid 19 but arrest the salon owner in Texas and now this guy for running a business and put them in jail. At what point did priorities get turned around? Is it Opposite Day?",,,,1262892627843862528,https://twitter.com/jaracingagain/status/1262892627843862528
2020-05-19 23:46:15,lucygirl0164,jwafer,1,0,0,"How many Americans lost their lives due to anti-Trump war on hydroxychloroquine? GREAT SUCCESS at Texas nursing home had outbreak of coronavirus infecting 56 residents &amp; 33 staff members. Administered HCQ w/ Zpac &amp; Zinc. Only 1 COVID-19 patient died! ",,,,1262892356187099144,https://twitter.com/lucygirl0164/status/1262892356187099144
2020-05-19 23:46:13,ONowland,,2,2,4,"Yea Texas! We Got The All Time Southern Record For New Covid Cases! Holy Cat Shit Pajamas We Beat Georgia &amp; Florida For New Covid Cases And Number Of Deaths...Thanks Gov Abbot We're So Proud Of You Putting Us Back On Top With The Highest Numbers...",,,,1262892346913546240,https://twitter.com/ONowland/status/1262892346913546240
2020-05-19 23:45:52,FinkenDavid,marceelias,0,0,0,"This is huge. Texas law prohibits voting by mail unless you have a medical condition that prevents you from voting in person. Right now with Covid-19 being alive is a a condition that puts you at risk ",,,,1262892260024295427,https://twitter.com/FinkenDavid/status/1262892260024295427
2020-05-19 23:44:59,JESSMARIEMOM0F3,The_Big_Kool,0,0,0,"I don't think there is as many cases as they claim I think it's just another severe flu they slapped the covid-19 name on it and blew it out of proportion to instill fear this is a test run for one world order all the country leaders are apart of this that want one world order.",,,,1262892037197705217,https://twitter.com/JESSMARIEMOM0F3/status/1262892037197705217
2020-05-19 23:44:50,edsan01,,0,0,0,"@m_ebrard porque los mexicanos no pueden venir a EEUU pero los americanos pueden ir y venir cuantas veces quieran? Hay que amarrarse un y que sea pareja la cosa, porque en Texas hay más casos que en Tamaulipas y ese pedo no jala! #Covid_19 #Texas #TAM",,@m_ebrard,#Covid_19 #Texas #TAM,1262891997657997312,https://twitter.com/edsan01/status/1262891997657997312
2020-05-19 23:43:20,Doogieah,,0,0,0,"Media Manufactures Drama By Skewing Texas COVID Data | Stu Does America https://youtu.be/Y2go8sKR7hU via @YouTube",,@YouTube,,1262891619440889856,https://twitter.com/Doogieah/status/1262891619440889856
2020-05-19 23:43:01,Eddie_is_online,,0,0,0,"SAD BUT DUMB: Texas church cancels masses following death of a possibly Covid-19 positive priest - CNN https://www.cnn.com/2020/05/19/us/texas-church-covid19-priest-trnd/index.html via @GoogleNews",,@googlenews,,1262891541821079556,https://twitter.com/Eddie_is_online/status/1262891541821079556
2020-05-19 23:42:57,ChrisCBlake,,0,0,0,"Texas Catholic Church Closes After Leaders Get COVID-19 ",,,,1262891525815652353,https://twitter.com/ChrisCBlake/status/1262891525815652353
2020-05-19 23:41:36,itstashadarling,,0,0,0,"Texas church cancels masses following death of a possibly Covid-19 positive priest https://www.cnn.com/2020/05/19/us/texas-church-covid19-priest-trnd/index.html",,,,1262891183367479298,https://twitter.com/itstashadarling/status/1262891183367479298
2020-05-19 23:41:30,Backstorymom1,,0,0,0,"Texas church cancels masses following death of a possibly Covid-19 positive priest https://www.cnn.com/2020/05/19/us/texas-church-covid19-priest-trnd/index.html",,,,1262891158549737479,https://twitter.com/Backstorymom1/status/1262891158549737479
2020-05-19 23:41:14,cypress_hilll,,1,11,19,"At this point the only person there is to blame/talk shit to for increased cases of COVID-19 in Texas is @GregAbbott_TX for reopening everything. ",,@GregAbbott_TX,,1262891092107722758,https://twitter.com/cypress_hilll/status/1262891092107722758
2020-05-19 23:40:39,Chuck122049,,0,0,0,"Media Manufactures Drama By Skewing Texas COVID Data | Stu Does America https://youtu.be/Y2go8sKR7hU via @YouTube",,@YouTube,,1262890944300539905,https://twitter.com/Chuck122049/status/1262890944300539905
2020-05-19 23:40:36,gary79695196,TeahCartel,1,1,2,"Holy smokes... Arizona, Florida, Oklahoma, Texas, and what other red states are hiding or falsifying covid data. WTF.",,,,1262890931281293313,https://twitter.com/gary79695196/status/1262890931281293313
2020-05-19 23:38:33,warbabyyy,,2,1,4,"‘Like nothing happened.’ — Alarming footage shows shopping mall crowds ignoring social distancing in Texas, where COVID-19 cases have spiked since reopening ",,,,1262890415692316672,https://twitter.com/warbabyyy/status/1262890415692316672
2020-05-19 23:36:03,AustinKungFu,,0,0,0,"31 Deaths in Texas from COVID-19 today, making the total to 1400. Over 1500 total deaths today in the USA.",,,,1262889788081913868,https://twitter.com/AustinKungFu/status/1262889788081913868
2020-05-19 23:33:00,nowthisnews,,125,481,825,"‘Where’s the mask? Where’s the gloves? Like nothing happened.’ — Alarming footage shows shopping mall crowds ignoring social distancing in Texas, where COVID-19 cases have spiked since reopening ",,,,1262889019517501440,https://twitter.com/nowthisnews/status/1262889019517501440
2020-05-19 23:32:05,CairoYork,,0,0,0,"Texas church cancels masses following death of a possibly Covid-19 positive priest - CNN http://dlvr.it/RWzX7t",,,,1262888790554669056,https://twitter.com/CairoYork/status/1262888790554669056
