,screen_name,id_str,created_at,text
0,KanganaTeam,1303586065597440000,2020-09-09 06:48:32,"There is no illegal construction in my house, also government has banned any demolitions in Covid till September 30… https://t.co/vtyDO8nxLl"
1,RealEricCarmen,1303393732687921154,2020-09-08 18:04:16,Why aren't all the homeless in San Francisco and NYC dead from COVID by now? No social distancing. No masks. Drug a… https://t.co/urDFLGXl22
2,RandPaul,1303383971649257473,2020-09-08 17:25:29,The US now slightly exceeds Sweden in per capita deaths from COVID. The difference — govt dictates destroyed the US… https://t.co/4WQNShdw0z
3,jeannefisher17,1303830456098533377,2020-09-09 22:59:39,"via @NYTimes

Thank goodness for Drs. Collins and Fauci https://t.co/bj9sNNDrQC"
4,EAPstephen,1303830455230361605,2020-09-09 22:59:39,Or the start of August when there was another huge surge coming? https://t.co/OyKFQXOEcT
5,JBellSATX,1303830454437543937,2020-09-09 22:59:38,But @realDonaldTrump said kids were “virtually immune” to covid and he would never lie https://t.co/GQKX8FUVU2
6,zeeshan_iyc,1303830454374629382,2020-09-09 22:59:38,@zeeshan0431 How’s the covid situation there now?
7,thadogburn,1303830453045075969,2020-09-09 22:59:38,"North Carolina's universities have been all over the map in planning for COVID-19, responding to it and figuring ou… https://t.co/a0MJ72Z1s2"
8,NathanialLarkin,1303830452520665088,2020-09-09 22:59:38,@Acosta I knew at some point he would do a 180 and say hes always taken it seriously but isnt he still down-playing covid?
9,TheWatc65808911,1303830452009136129,2020-09-09 22:59:38,"“I think in terms of the existing restrictions, people should see this as the next block of time that may not last… https://t.co/6xVqIZ5fHD"
10,26354Bee,1303830451614814209,2020-09-09 22:59:38,"@demi_lynne701 Not nec. true. 
That assumes Covid will go away if we lockdown. So far, very little evidence of that… https://t.co/yJmxA9yKcy"
11,catrollo,1303830451287662593,2020-09-09 22:59:38,Boris' #Moonshot #TestAndTrace to cost £1500 each for every adult &amp; child in the UK. It's a massive opportunity for… https://t.co/jztf2l7mRN
12,BlueDotSeaOfRed,1303830451136737280,2020-09-09 22:59:38,"@MiaFarrow @putinowns We spent all of December, January, and February watching COVID ravage Asia and Europe but no… https://t.co/GAvzMGSEYC"
13,KnaveChild,1303830450746523649,2020-09-09 22:59:38,@gabs247 @Adam_Creighton #Lockdown of the Global Economy of Planet Earth. Diabolical Project: Closing Down of 193 N… https://t.co/jQGaVPa6sU
14,lorrainemiller7,1303830449962151936,2020-09-09 22:59:37,Doctors working to crack the mystery of 'long haul' COVID-19 sufferers https://t.co/0hTz0HpIcn
15,BladesofGlory02,1303383971577950214,2020-09-08 17:25:29,Every time I email @senatemajldr he sends me a generic email defining what COVID-19 is and does not address what I… https://t.co/aEx89EtR97
16,Meredith_Kinsle,1303383966729285632,2020-09-08 17:25:28,Dozens of headteachers send pupils home amid Covid-19 outbreaks https://t.co/3iRokN0jCw via @MailOnline
17,SarahJessicaEye,1303383966246993920,2020-09-08 17:25:27,Started the new room today with 6 kids. 3 returning from before Covid and 3 brand new. None have been in daycare in… https://t.co/zLAru0QYQ6
18,CowboysNation,1303383965731115010,2020-09-08 17:25:27,When your Dr tells you that you’ve put on 12lbs since Covid Lockdown but you’ve got PLANS TO EAT BACON on Sunday Ni… https://t.co/sX9ZPDpmQc
19,EllenAshley2020,1303383965559123968,2020-09-08 17:25:27,"Mexico is working to produce its own COVID-19 vaccines and could have one ready by next spring, according to a rese… https://t.co/SmPquPzoA5"
20,VitragSancheti4,1303383965475041280,2020-09-08 17:25:27,@Rajput_Ramesh @narendramodi @WhatsApp Or kuch chamche to covid lockdown ke quarter ke GDP (~-23%) ko 2010 ke boom… https://t.co/9YNL1MdRQn
21,VirtuallySheree,1303383965416304645,2020-09-08 17:25:27,Found a covid face mask selling at Cosmo. 😺 #SecondLife https://t.co/s6mnr0UFJi
22,ASEA313,1303383964699295744,2020-09-08 17:25:27,@TinamarieLobue Any what? Covid? 🤣🤣🤣
23,ottawabot,1303383963164127235,2020-09-08 17:25:27,"The #COVID19 crisis is having a disproportionate economic impact on women. Stay tuned! Tomorrow, the @OntarioCofC w… https://t.co/1BYRM0psiw"
24,southborn12,1303383962908348416,2020-09-08 17:25:27,Please pray for me and my family! My mom has broke her pelvis and things don’t look good! There are going to be som… https://t.co/lCT77OSBy7
25,peterduerr2,1303383962346291200,2020-09-08 17:25:26,Will the murder rate in Chicago reach greater numbers than covid ?
26,saintkxndra,1303383961763155968,2020-09-08 17:25:26,I started a job &amp; I get covid txt messages every other day letting us know someone came out positive 😭 so scary
