date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-17 23:58:52,italo_russo79,,0,2,2,"Texas sees its highest single-day increase in Covid-19 cases ",,,,1262170755329998848,https://twitter.com/italo_russo79/status/1262170755329998848
2020-05-17 23:57:20,CharlesNegy,,0,1,2,"Texas just had its ""highest single day rise in covid-19 cases"" after ""re-opening."" But almost all of the cases were from a couple of meat-packing plants. The fear-mongering continues in MSM... ",,,,1262170367273177089,https://twitter.com/CharlesNegy/status/1262170367273177089
2020-05-17 23:57:05,whodouthink88,realDonaldTrump,0,0,0,"Texas had the highest number of new Covid-19 cases Saturday ... trump is a Liar ...",,,,1262170303716896768,https://twitter.com/whodouthink88/status/1262170303716896768
2020-05-17 23:56:23,texbrodave1,jwgop,2,0,10,"Spring Texas pre covid ",,,,1262170128076148743,https://twitter.com/texbrodave1/status/1262170128076148743
2020-05-17 23:56:10,Grabsback2,,0,6,6,"IF you have any common sence you're probably saying to yourself,""Who didn't see this coming?"" Texas COVID-19 cases rise, governor's office says more testing being done - ABC News - https://abcn.ws/3cyIcGi via @ABC",,@ABC,,1262170073684467716,https://twitter.com/Grabsback2/status/1262170073684467716
2020-05-17 23:56:01,George56286114,,0,0,0,"Texas sees its highest single-day increase in Covid-19 cases https://www.cnn.com/2020/05/17/health/us-coronavirus-sunday/index.html",,,,1262170038167011330,https://twitter.com/George56286114/status/1262170038167011330
2020-05-17 23:55:28,Meding001,washingtonpost,1,0,0,"If NY, NJ , CT & MA as countries , easily the highest death rates ! The latest Covid 19 death per mill residents New York 1456 New Jersey 1167 Connecticut 956 Massachusetts 828 Louisiana 536 Michigan 489 Illinois 326 Georgia 151 Florida 92 California 83 Texas 46",,,,1262169898576498688,https://twitter.com/Meding001/status/1262169898576498688
2020-05-17 23:54:47,sanford17,realMikeDahler,1,0,1,"actually... Texas has tested about 45000.... Texas has about 1800 deaths from covid 19... that's 4%... as of may 16... The testing num be be a little higher...",,,,1262169727268519937,https://twitter.com/sanford17/status/1262169727268519937
2020-05-17 23:52:30,Coronav34642333,,0,0,0,"Massive jump in Texas COVID-19 cases More News: From ‘COVID Toes’ to Hives, These Are the Skin Conditions Dermatologists Think Could Be Signs of CoronavirusHow does coronavirus kill?What are coronavirus antibody tests?What Immunity to COVID-19 #cases #c",,,#cases #c,1262169150862045184,https://twitter.com/Coronav34642333/status/1262169150862045184
2020-05-17 23:51:18,Lynn96481628,CoryBooker,0,0,0,"Mr Booker just listened to a Dr from Texas, who said if have covid-19 you should go to your Dr. Get an antibiotic shot and then follow Trump's ideas about medication. Her patients are getting better than not dying, I'm not sitting home with a disease and suffering.",,,,1262168852047241222,https://twitter.com/Lynn96481628/status/1262168852047241222
2020-05-17 23:50:42,BooksYALove,MillenPolitics,0,0,0,"And highest-ever daily covid death rate in Texas was on May 14 (58) ... https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83",,,,1262168699953385472,https://twitter.com/BooksYALove/status/1262168699953385472
2020-05-17 23:50:06,wadeNYC,,0,3,2,"Massive jump in Texas COVID-19 cases ",,,,1262168548870361089,https://twitter.com/wadeNYC/status/1262168548870361089
2020-05-17 23:48:36,Snacks1959,,0,1,0,"A Re-opened Texas sees it's largest 1 day jump in COVID-19 cases ",,,,1262168170539827200,https://twitter.com/Snacks1959/status/1262168170539827200
2020-05-17 23:47:42,RM88881470,3truthhurts3,0,0,0,"Oh no. They act. They report data points like an increase on Covid cases in Texas like if it is the whole story but leave out that Texas has massively increased testing which is the resoné for the spike. That’s misinformation. They know it and still sell it to the people.",,,,1262167944404119555,https://twitter.com/RM88881470/status/1262167944404119555
2020-05-17 23:46:35,CisgenderM,JJohnsonLaw,1,0,0,"Texas had their biggest day in terms of new COVID cases?",,,,1262167662483984389,https://twitter.com/CisgenderM/status/1262167662483984389
2020-05-17 23:45:48,Zrs1994,,0,0,1,"My city is a ticking time bomb with the number of mass gatherings and nonsocial distancing I have seen in the last hour. #Texas #COVID__19",,,#Texas #COVID__19,1262167464680488960,https://twitter.com/Zrs1994/status/1262167464680488960
2020-05-17 23:42:15,cam_da_man__,,0,1,6,"south korea population = 52 million texas population = 29 million south korea covid cases in past day = 13 texas covid cases in past day = 1,800",,,,1262166570857611264,https://twitter.com/cam_da_man__/status/1262166570857611264
2020-05-17 23:42:04,mangrovegirl,,0,0,0,"Texas reported its highest single-day increase in new COVID-19 cases as restaurants, salons, and cinemas open to the public #SmartNews ⁦@GovAbbott⁩",,@GovAbbott,#SmartNews,1262166526297362434,https://twitter.com/mangrovegirl/status/1262166526297362434
2020-05-17 23:41:48,CcriderJohn,,0,0,1,"Texas sees its highest single-day increase in Covid-19 cases https://www.cnn.com/2020/05/17/health/us-coronavirus-sunday/index.html",,,,1262166459339272192,https://twitter.com/CcriderJohn/status/1262166459339272192
