date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-06 23:56:06,_gracer40,keithboykin,0,0,0,"For all those people that think COVID is nothing but just the flu Imagine if one of those 10 kids was yours and there was only 3 beds! ",,,,1280289451856576513,https://twitter.com/_gracer40/status/1280289451856576513
2020-07-06 23:37:37,VDIArchitect,melissamvega,1,0,1,"Leaving COVID out of it, children are super spreaders of viruses and bacteria. Now throw COVID in - even if children are not greatly impacted by the virus itself, they might spread it to those who are susceptible which is not acceptable. People who think this is okay are fools.",,,,1280284799689789441,https://twitter.com/VDIArchitect/status/1280284799689789441
2020-07-06 23:34:44,Mules2College,Harvard,0,0,1,"More colleges release plans for the fall semester. @AHHSmules @AHISD @applytoharvard @WeGoPublic #Covid #Covid19 #coronavirus #College #Harvard #WearAMask",,@AHHSmules @AHISD @applytoharvard @WeGoPublic,#Covid #Covid19 #coronavirus #College #Harvard #WearAMask,1280284072523313153,https://twitter.com/Mules2College/status/1280284072523313153
2020-07-06 23:16:12,ravenalexia,ksatnews,0,1,2," 351 new Covid-19 cases &amp; 2 more deaths 15,102 Confirmed Cases in Bexar Co. 132 Total Deaths 1,168 Hospitalized ",,,,1280279410453733378,https://twitter.com/ravenalexia/status/1280279410453733378
2020-07-06 22:42:02,RichardASalas3,mallorys_oracle,2,1,2,"Thank you Ladyred. Stay Safe. My COVID-19 test came back negative ",,,,1280270811815907329,https://twitter.com/RichardASalas3/status/1280270811815907329
2020-07-06 22:22:58,falconfiend2,,0,0,0,"Even if you work at a place that had Covid...and you test negative, they ask you to quarantine also",,,,1280266014157144064,https://twitter.com/falconfiend2/status/1280266014157144064
2020-07-06 21:46:36,parkerandquinoa,Complex,0,1,5,"Apparently she has COVID... her death will likely be blamed on that ",,,,1280256862756184077,https://twitter.com/parkerandquinoa/status/1280256862756184077
2020-07-06 21:39:50,broody_boy_josi,,0,0,0,"I regret being a big smoker I hope I don’t catch covid bruh honestly my lungs ain’t shit I might diee str8 up",,,,1280255160703430659,https://twitter.com/broody_boy_josi/status/1280255160703430659
2020-07-06 21:06:41,havoc_sebastian,,0,0,0,"How Disability services function online? no lab use, gotta buy a computer bcuz the tablet didn’t cut it after the covid semester, the grading system should change.",,,,1280246817444282373,https://twitter.com/havoc_sebastian/status/1280246817444282373
2020-07-06 20:49:02,coachsotopop,,1,4,26,"WIN vs Covid Wear a mask Instigate social distancing No gatherings over 10 people ",,,,1280242375705743361,https://twitter.com/coachsotopop/status/1280242375705743361
2020-07-06 20:28:58,steffann10,,0,0,1,"If a medical office has staff members that have tested positive for covid-19, should the patients be told that there were positive cases in the office?",,,,1280237323578478595,https://twitter.com/steffann10/status/1280237323578478595
2020-07-06 20:10:08,Viva66Che,,0,0,0," Florida teen dies after conspiracy theorist mom takes her to church ‘COVID party’ and tries to treat her with Trump-approved drug: report ",,,,1280232583536750592,https://twitter.com/Viva66Che/status/1280232583536750592
2020-07-06 20:00:04,PastorEBonilla,,1,0,13,"Today we mourn with our first church family to have lost a loved one due to Covid-19. Please pray for the Leon family. This is María De Lourdes a precious lady who served the Lord faithfully especially in our benevolence ministry. She will be missed. ",,,,1280230051997462530,https://twitter.com/PastorEBonilla/status/1280230051997462530
2020-07-06 19:32:14,BoloBoffin,,2,0,1,"There's a story flying around about a young COVID-19 victim whose mother allegedly took her to a COVID-19 party. Its all coming from one person who says she has access to the ""public"" medical examiner report on the kid. But the report is not anywhere I can find it online.",,,,1280223045957963779,https://twitter.com/BoloBoffin/status/1280223045957963779
2020-07-06 19:07:20,Irma_0324,,0,0,0,"I don’t understand how people still think this virus is a hoax. People I love and care for have/had COVID, I know people who have died from COVID. Ignorance is bliss I guess ",,,,1280216782926733313,https://twitter.com/Irma_0324/status/1280216782926733313
2020-07-06 18:50:48,BraddyBarbara,,1,0,0,"Our whole office is out because of Covid. this shit sucks.",,,,1280212621732560896,https://twitter.com/BraddyBarbara/status/1280212621732560896
2020-07-06 18:40:05,JohnP_TTU,,0,0,0,"How are people getting their COVID test results by email or regular mail???",,,,1280209923259936769,https://twitter.com/JohnP_TTU/status/1280209923259936769
2020-07-06 18:20:58,ThatBravesGirl,darnold82,1,0,1,"Just the minor inconvenience otherwise known as COVID-19 ha",,,,1280205113790005248,https://twitter.com/ThatBravesGirl/status/1280205113790005248
2020-07-06 18:20:29,MileHigh_Texan,realDonaldTrump,0,0,0,"COVID DEATHS HIT AN ALL TIME HIGH!",,,,1280204991349903360,https://twitter.com/MileHigh_Texan/status/1280204991349903360
2020-07-06 18:20:20,JordanGhawi,,1,0,9,"Today marks the 150th day of our local COVID-19 response. ",,,,1280204952942579714,https://twitter.com/JordanGhawi/status/1280204952942579714
2020-07-06 17:49:18,Shackattack210,,0,0,0,"@BillMillerBarBQ you should probably cease all refill with customers who bring your reusable plastic mugs. #covid",,@BillMillerBarBQ,#covid,1280197144490708993,https://twitter.com/Shackattack210/status/1280197144490708993
2020-07-06 17:41:19,ThatBravesGirl,ChopOnCorey,0,0,3,"COVID-19 cases, that’s what",,,,1280195135528210438,https://twitter.com/ThatBravesGirl/status/1280195135528210438
2020-07-06 17:20:29,MatttTanaka,,1,2,10,"Fuck covid bro",,,,1280189889217269760,https://twitter.com/MatttTanaka/status/1280189889217269760
2020-07-06 17:04:40,havoc_sebastian,,0,17,20,"in SA the majority of crowded apartments complexes are Black/Latino with workers that haven’t been able to stop working. It’s not difficult to understand how the racial socioeconomic segregation would translate to covid death disparity too",,,,1280185910756364288,https://twitter.com/havoc_sebastian/status/1280185910756364288
2020-07-06 17:01:16,WP4KTF,,0,0,0,"#trumpDeathClock drove around Wash #DC streets on the #4thOfJuly displaying #covid related #American #deaths thanks to the ineptitude of our #incoherent #incompetent #RacistInChief… https://www.instagram.com/p/CCTunqrpzF9FIX4MGVPglnBGzmTWx9AtDBUWLo0/?igshid=vdywoy9l7cc2",,,#trumpDeathClock #DC #4thOfJuly #covid #American #deaths #incoherent #incompetent #RacistInChief,1280185053683867650,https://twitter.com/WP4KTF/status/1280185053683867650
2020-07-06 16:55:44,DatingFckry,,1,0,3,"I need to live stream my face while I’m getting my covid coochie sugared. ",,,,1280183663355924480,https://twitter.com/DatingFckry/status/1280183663355924480
2020-07-06 16:46:49,jakat210,DonaldJTrumpJr,0,0,0,"It's a fken statue. Let's focus on covid now that you know it's real!",,,,1280181420372221952,https://twitter.com/jakat210/status/1280181420372221952
2020-07-06 16:33:36,JoeGalliNews,,0,1,4,"This is Justin Vine. He’s a 40-year-old father, husband & nurse. He’s also on a ventilator after being infected with #Covid_19. His wife &amp; 2 daughters are suffering from COVID symptoms at home while Justin fights for his life. Full story tonight a 6 on @News4SA",,@News4SA,#Covid_19,1280178091713875973,https://twitter.com/JoeGalliNews/status/1280178091713875973
2020-07-06 15:54:00,gofthecooltable,StaceyLRicks,2,0,0,"In his defense they have been diagnosing anything flu like or allergy based as covid",,,,1280168125233860610,https://twitter.com/gofthecooltable/status/1280168125233860610
