,id,text,date,retweets,favorites,mentions,hashtags,geo,region
0,1300220949514592257,I can't say. But her initials are #HillaryClinton.,2020-08-30 23:56:45+00:00,3,2,,#HillaryClinton,,Kerrville Fredericksburg
1,1300218147048427522,Does that mean he's also giving back his fake crown?,2020-08-30 23:45:37+00:00,0,0,,,,Kerrville Fredericksburg
2,1300218079918673920,Oh my. There are no excuses or reasons for violence and destruction. Any injustice is only corrected with solid and effective communication to put it inteffect strategies on moving forward to correct the problem.,2020-08-30 23:45:21+00:00,0,0,,,,Kerrville Fredericksburg
3,1300216460342689793,"Found several new #Patriots! Need a follow back from @matanuskadon, @Joztruthbesaid, @Enlightened_Pat, @CrzyLdyx, @BillyJo04495124, @GunnyO1990, @epicantrix, and @truth_sniper. #PatriotsUnite #Trump2020 #WeAreTrump",2020-08-30 23:38:55+00:00,0,3,@matanuskadon @Joztruthbesaid @Enlightened_Pat @CrzyLdyx @BillyJo04495124 @GunnyO1990 @epicantrix @truth_sniper,#Patriots #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
4,1300216182641958913,HES ON A ROLL Billy being Billy #bigbro,2020-08-30 23:37:49+00:00,0,1,,#bigbro,,Kerrville Fredericksburg
5,1300214780947562499,Following a new #Patriot! Need a follow back from @Steve60609184. Still need a follow back from @blu2_angles. #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:32:15+00:00,0,0,@Steve60609184 @blu2_angles,#Patriot #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
6,1300214400054423555,Honored to be among these #Patriots! Thanks for the shout out! #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:30:44+00:00,0,0,,#Patriots #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
7,1300214018385248256,Found a few new #Patriots! Need a follow back from @pragmatistic10 and @msqto_kila. #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:29:13+00:00,0,0,@pragmatistic10 @msqto_kila,#Patriots #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
8,1300212534973280258,"Following a few new #Patriots! Need a follow back from @willsmith8880, @thc1776, @Louiseann81, and @JamieAn18927362. #PatriotsUnite #Trump2020 #WeAreTrump",2020-08-30 23:23:19+00:00,0,1,@willsmith8880 @thc1776 @Louiseann81 @JamieAn18927362,#Patriots #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
9,1300211466243641345,Found a new #Patriot! Need a follow back from @Ozzietruther. #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:19:04+00:00,0,1,@Ozzietruther,#Patriot #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
10,1300211133798903813,Following everyone! Still need a follow back from @Blmgtnman991. #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:17:45+00:00,0,0,@Blmgtnman991,#PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
11,1300210861609562116,MORE #livemusic at #luckenbach #texas with the awesome @AllanHendMusic ! #luckenbachpickingcircle . #backtolife #maskfree #maskfreezone #sunshineisgoodforyou #livemusicisgoodforthesoul… https://www.instagram.com/p/CEh6ICzFs3B/?igshid=layiy66njmwc,2020-08-30 23:16:40+00:00,0,1,@AllanHendMusic,#livemusic #luckenbach #texas #luckenbachpickingcircle #backtolife #maskfree #maskfreezone #sunshineisgoodforyou #livemusicisgoodforthesoul,,Kerrville Fredericksburg
12,1300210755925614594,Following a couple new #Patriots! Need a follow back from @trumpnado4 and @olitok34gmailc1. #PatriotsUnite #Trump2020 #WeAreTrump,2020-08-30 23:16:15+00:00,1,4,@trumpnado4 @olitok34gmailc1,#Patriots #PatriotsUnite #Trump2020 #WeAreTrump,,Kerrville Fredericksburg
