date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-19 23:59:51,WillMcAvoyACN,jaketapper,4,24,76,"The Lt. Governor of Texas proclaimed that old people may need to be sacrificed for the economy due to COVID-19. ",,,,1274129800408563713,https://twitter.com/WillMcAvoyACN/status/1274129800408563713
2020-06-19 23:59:32,Alzcookin,,0,6,16,"Texas COVID-19 hospitalizations as of yesterday. But keep running around without masks. #TexasCOVID #COVID19tx #WearAMask",,,#TexasCOVID #COVID19tx #WearAMask,1274129722000236545,https://twitter.com/Alzcookin/status/1274129722000236545
2020-06-19 23:59:23,BEVHOWARD40,,3,4,2,"Arizona, Texas, Florida again report record-high COVID-19 cases ",,,,1274129682099777537,https://twitter.com/BEVHOWARD40/status/1274129682099777537
2020-06-19 23:59:07,dallasguy2,,0,0,0,"Not so fast, boss: As COVID-19 cases spike in Texas, more delay their return to the office ",,,,1274129617075548161,https://twitter.com/dallasguy2/status/1274129617075548161
2020-06-19 23:58:59,energyxls,,9,2,22,"When covid cases first picked up in Texas (feel like this was what, 2-3 months ago), I only knew one friend that had gotten it Last two weeks, know &gt;15 who got it. All in their 20’s, all have gotten sick. This shit is changing bro. Young people are not staying asymptomatic now",,,,1274129583114194944,https://twitter.com/energyxls/status/1274129583114194944
2020-06-19 23:58:33,_CircusMaximus,,0,0,0,"I was told that covid would go from 15 to 0. Overnight. Maybe with a sprinkle of heat. Hello Texas and Florida.",,,,1274129474393722880,https://twitter.com/_CircusMaximus/status/1274129474393722880
2020-06-19 23:58:15,hbryant42,,104,1217,3097,"23 Clemson players have tested positive for Covid. Hearing 10 pct of Texas players. The sacrificing of players is underway.",,,,1274129397512122369,https://twitter.com/hbryant42/status/1274129397512122369
2020-06-19 23:58:15,GregRajan,,1,0,0,"New from Houston Chronicle — Texas to continue voluntary football workouts after 13 positive tests for COVID-19 ",,,,1274129397281325058,https://twitter.com/GregRajan/status/1274129397281325058
2020-06-19 23:56:54,3_in_austin,,0,2,2,"KUDOS to @GovAbbott for Texas being first in the country today in new COVID-19 infections (+4,085)!",,@GovAbbott,,1274129060474601473,https://twitter.com/3_in_austin/status/1274129060474601473
2020-06-19 23:56:51,cadamsKXAN,,15,98,94,"Texas officially reported more than 100,000 cases of COVID-19 today. Here's how long it's taken us to reach 10,000 case milestones. The state's first cases were reported March 9. It took 32 days to reach 10,000 cases. It just took us 3 days to get from 90K to 100K. @KXAN_News",,@KXAN_News,,1274129045043777537,https://twitter.com/cadamsKXAN/status/1274129045043777537
2020-06-19 23:56:28,goodtr0uble,,0,0,0,"Arizona, Texas and Florida are all reporting record-high single-day increases in COVID-19 cases, surpassing previous records set just a few days ago. https://thehill.com/policy/healthcare/503588-arizona-texas-florida-again-report-record-high-covid-19-cases",,,,1274128948415299587,https://twitter.com/goodtr0uble/status/1274128948415299587
2020-06-19 23:56:27,FaeryGdds,,0,2,2,"Looks like Texas will pull into the #5 State with COVID tomorrow... ",,,,1274128947438137349,https://twitter.com/FaeryGdds/status/1274128947438137349
2020-06-19 23:55:30,dianamurray64,,0,0,0,"Arizona, Texas Are Setting Records in Daily COVID-19 Cases ",,,,1274128708656336898,https://twitter.com/dianamurray64/status/1274128708656336898
2020-06-19 23:55:18,keraz37,Acyn,0,0,1,"Just listened to Public Radio talking about the evictions in Texas and nothing has been done about the landlords and tenants during Covid. Someone should find out if Hannity is evicting his tenants?",,,,1274128656269533189,https://twitter.com/keraz37/status/1274128656269533189
2020-06-19 23:54:44,john_a_carranza,,0,0,1,"Some days I fight major bouts of FOMO and want to hang out despite the increasing numbers of COVID cases in Texas.",,,,1274128515533869058,https://twitter.com/john_a_carranza/status/1274128515533869058
2020-06-19 23:54:02,JDHess,bytesofcloud,0,0,2,"The death count from COVID is currently the equivalent of a 747 airplane crashing and killing all on board EVERY day for 300 days. If that was happening, how fast would the government act?? Would YOU fly on one?? #ScienceMatters",,,#ScienceMatters,1274128336965550080,https://twitter.com/JDHess/status/1274128336965550080
2020-06-19 23:52:31,MatthewJY71,kurteichenwald,2,0,0,"Covid Deaths per 1M pop: Texas - 75 Florida - 145 All of USA - 367 New Jersey - 1459 New York - 1602",,,,1274127957058076677,https://twitter.com/MatthewJY71/status/1274127957058076677
2020-06-19 23:52:03,Vgsuhr,PibeGeek,1,0,1,"Cuenta Logos? Bueh, COBOL, en Texas Instruments Ti99. COVID, ya te siento",,,,1274127840431267841,https://twitter.com/Vgsuhr/status/1274127840431267841
2020-06-19 23:51:28,JHerbertOttawa,SarahSpain,1,0,0,"I think the scenario you lay out Sarah is an unlikely one after today. It is hard to see a season after + results. Florida, Arizona and Texas are COVID hotspots, all 3000+ today, with no state discipline to mitigate spread. Better to cancel than to assume potential risks.",,,,1274127690019344391,https://twitter.com/JHerbertOttawa/status/1274127690019344391
2020-06-19 23:50:23,JearoldR,,0,2,3,"Covid did NOT kill the Texas Economy, Greg Abbott’s Executive orders shutting down businesses single handedly did and it WILL NOT recover as long as he keeps rolling over to the democratic mayors and judges",,,,1274127419570630657,https://twitter.com/JearoldR/status/1274127419570630657
2020-06-19 23:50:20,nenirichards76,,1,0,3,"Texas A&amp;M Study: Face Masks Critical In Preventing Spread Of COVID-19 ",,,,1274127406715023361,https://twitter.com/nenirichards76/status/1274127406715023361
2020-06-19 23:49:24,saraheneedleman,,1,0,2,"11 play­ers on 40-man ros­ters from seven teams—two based in Texas, four that train in Flor­ida and one that trains in Ari­zona—have tested pos­i­tive for Covid-19 this month, a per­son fa­mil­iar with the mat­ter said. ",,,,1274127173654327297,https://twitter.com/saraheneedleman/status/1274127173654327297
2020-06-19 23:48:41,tachycore,LinaHidalgoTX,1,0,10,"The sad thing: I have encountered patients who believe that she's doing all of these orders on her own. No. This was done in consultation with the Texas Medical Center leadership and available state and local COVID-19 data trends.",,,,1274126991789359107,https://twitter.com/tachycore/status/1274126991789359107
2020-06-19 23:48:15,lellingw,,0,0,0,"Beto O’Rourke, Texas’s approach to COVID-19. people’s own experiences dictate their views on the crisis. Peter Morley, advocate for people with chronic illnesses, shares his lens on the crisis.Andy’s mom/Zach’s Nana, who has a special Mother’s Day message. ",,,,1274126883941163011,https://twitter.com/lellingw/status/1274126883941163011
