date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-30 23:59:21,EdEspinoza,,0,4,3,"Today there were 6,975 covid 19 cases in Texas. This is the highest day on record. Shattering the previous record high of 5,995 set on June 25th. ",,,,1278115940492869632,https://twitter.com/EdEspinoza/status/1278115940492869632
2020-06-30 23:59:08,Dcl_60,,2,2,6,"Texas Daily COVID-19 Cases Top Italy's Record When It Was Global Epicenter ",,,,1278115888315748357,https://twitter.com/Dcl_60/status/1278115888315748357
2020-06-30 23:58:32,HolmesCarolyn23,,0,0,0,"After 53 years of marriage, a Texas couple died holding hands from Covid-19 - CNN ",,,,1278115736121233414,https://twitter.com/HolmesCarolyn23/status/1278115736121233414
2020-06-30 23:58:02,DrofnasInTexas,,0,2,2,"Flashback: Texas Judge Warns of Artificially Inflated Covid-19 Numbers ",,,,1278115610338177025,https://twitter.com/DrofnasInTexas/status/1278115610338177025
2020-06-30 23:57:24,jmarkham512,,0,1,6,"As COVID-19 cases spike in Texas, @TitosVodka is extending hand sanitizer donations beyond frontline workers, and we're making 21,000 bottles available to our hometown Austin community for free. For pick-up details, visit https://www.titosvodka.com/stories/titos-hand-sanitizer-for-austin/ #TeamTitos",,@TitosVodka,#TeamTitos,1278115452439363595,https://twitter.com/jmarkham512/status/1278115452439363595
2020-06-30 23:57:15,hahaitsabby,,53,10013,39199,"People are really protesting & suing because bars are closed in Texas??? Shiiiiiii y’all are stupid asf. Bars closed for 3 MONTHS in Western Australia and no one died &amp; we’re back open with almost 0 cases of COVID. Bars need to be closed for the rest of the year in Texas. PERIOD.",,,,1278115412345892866,https://twitter.com/hahaitsabby/status/1278115412345892866
2020-06-30 23:57:10,_00729927,,0,0,1,"#AbbottBetrayedTexas @GregAbbott_TX @GovAbbott Does nothing Again !! .... 6975 New Cases COVID-19 Today. Too much profit to be lost by your special interest groups if you actually did the right thing. #TexasCovid19 #covidtexas ",,@GregAbbott_TX @GovAbbott,#AbbottBetrayedTexas #TexasCovid19 #covidtexas,1278115391911403529,https://twitter.com/_00729927/status/1278115391911403529
2020-06-30 23:56:56,MattsterBlaster,,1,1,5,"Imagine if covid was being transplanted into certain areas by test kits that already contain the virus infecting thousands. Florida would get 30,000 new cases in 4 days and Texas would skyrocket. Even though viruses dont survive our heat. But places like NY would see drops.",,,,1278115336018104326,https://twitter.com/MattsterBlaster/status/1278115336018104326
2020-06-30 23:55:52,KTABTV,,0,0,0,"Dozens of bar workers gathered outside the Texas State Capitol and marched to the Governor’s Mansion to protest Gov. Greg Abbott’s recent order to shutter bars due to a spike in COVID-19 cases. ",,,,1278115066571874307,https://twitter.com/KTABTV/status/1278115066571874307
2020-06-30 23:55:42,KRBCnews,,0,0,0,"Dozens of bar workers gathered outside the Texas State Capitol and marched to the Governor’s Mansion to protest Gov. Greg Abbott’s recent order to shutter bars due to a spike in COVID-19 cases. https://trib.al/SAIXXfL",,,,1278115024448487424,https://twitter.com/KRBCnews/status/1278115024448487424
2020-06-30 23:55:31,madrid_jacky,,2,0,0,"How dare you take a slogan that fights for basic human rights and use it for shit like that?! Texas COVID numbers are rising everyday and y’all mad cause bars are closed?? Maybe if y’all took this shit seriously and wore masks we wouldnt be In this situation. But here we are",,,,1278114978978050051,https://twitter.com/madrid_jacky/status/1278114978978050051
2020-06-30 23:55:29,bigcountryhome,,0,0,1,"Dozens of bar workers gathered outside the Texas State Capitol and marched to the Governor’s Mansion to protest Gov. Greg Abbott’s recent order to shutter bars due to a spike in COVID-19 cases. https://trib.al/AtLhlWO",,,,1278114970631385089,https://twitter.com/bigcountryhome/status/1278114970631385089
2020-06-30 23:55:09,Debbieh625,,0,3,4,"Harris County is using lack of COVID immunity as a valid reason to vote by mail! The local channel said no one will follow up on your immunity claim. @GregAbbott_TX You are letting the Dems take Texas! Challenge this immediately! @TXGOPCaucus",,@GregAbbott_TX @TXGOPCaucus,,1278114885835075586,https://twitter.com/Debbieh625/status/1278114885835075586
2020-06-30 23:55:09,xeni,,29,36,173,"The coronavirus is thrilled to learn that a bar owner in Texas is organizing a 'Bar Lives Matter' concert to protest the state's restrictions to slow the COVID-19 outbreak. ",,,,1278114884161425408,https://twitter.com/xeni/status/1278114884161425408
2020-06-30 23:54:18,jewellepperson,,0,0,0,"Gov. Abbott announces $9M in federal funding to combat COVID-19 in Texas nursing homes ",,,,1278114671464271872,https://twitter.com/jewellepperson/status/1278114671464271872
2020-06-30 23:53:19,stewardmagazine,,0,1,1,"Texas Daily COVID-19 Cases Top Italy's Record When It Was Global Epicenter #Mtnews #Resist #Mtpol #Mtsen #MAGA https://www.newsweek.com/texas-daily-covid-19-cases-top-italys-record-when-it-was-global-epicenter-1513855",,,#Mtnews #Resist #Mtpol #Mtsen #MAGA,1278114425527025676,https://twitter.com/stewardmagazine/status/1278114425527025676
2020-06-30 23:53:09,FranksFiles,TomT91004188,1,0,0,"I forgot that Trump held a rally in Texas... silly me, now I understand why Texas had a Covid spike. ",,,,1278114380245319680,https://twitter.com/FranksFiles/status/1278114380245319680
2020-06-30 23:53:08,Ccnn35555922,,0,0,0,"After 53 years of marriage, a Texas couple died from Covid-19 while holding hands - CNN https://apple.news/AIfG5w05UQ0mpB5QSDgw1_w",,,,1278114379695886336,https://twitter.com/Ccnn35555922/status/1278114379695886336
2020-06-30 23:53:02,TeachersLatAm,,0,0,0,"Warning of ""COVID slide,"" Texas Education Agency reports 1 in 10 students have disengaged during the pandemic http://dlvr.it/RZhqKJ",,,,1278114354215305217,https://twitter.com/TeachersLatAm/status/1278114354215305217
2020-06-30 23:52:17,Jack90994538,,0,0,1,"@AsaHutchinson Republican leadership Florida Texas Nevada Arizona and Oklahoma is killing people they're filling the hospitals with covid-19 because they turned it into a political thing Asa you're doing the same thing scared to lead afraid now you're killing us watch Arkansas",,@AsaHutchinson,,1278114165350113280,https://twitter.com/Jack90994538/status/1278114165350113280
2020-06-30 23:52:17,Distinct_Words,,2,2,4,"Texas hospital COVID-19 leader: 'This surge has moved to more of an under 50 population' https://fxn.ws/3dN7joG #FoxNews",,,#FoxNews,1278114165291442177,https://twitter.com/Distinct_Words/status/1278114165291442177
2020-06-30 23:51:53,taejukuz,pcywoodz,1,0,1,"It really is. We calling Adri too. WHEN COVID IS OVER WITH AND DONE THE FIRST KPOP CONCERT OR SMTH WE COMING TO TEXAS TO BOOL ",,,,1278114063755730948,https://twitter.com/taejukuz/status/1278114063755730948
2020-06-30 23:51:33,ratioonp1,,0,0,0,"After 53 years of marriage, a Texas couple died from Covid-19 while holding hands http://dlvr.it/RZhqGM",,,,1278113980221808640,https://twitter.com/ratioonp1/status/1278113980221808640
2020-06-30 23:51:28,Margie1820,JScottShep,0,0,2,"How many died in NY and NJ vs TX & FL? Guess which states didn’t and won’t send covid Pos patients to nursing homes? Texas requires 2 neg tests to go back to a nursing home. Meanwhile Cuomo killed the Greatest Generation. #CuomoKilledGrandma",,,#CuomoKilledGrandma,1278113956679180290,https://twitter.com/Margie1820/status/1278113956679180290
2020-06-30 23:51:24,antraasa,,0,0,6,"This is politics as usual...off the backs of our children. Pandemic politics in Texas. Surprised? #thebeatdowngoeson #STAAR #txed #txlege #COVID__19",,,#thebeatdowngoeson #STAAR #txed #txlege #COVID__19,1278113941231742977,https://twitter.com/antraasa/status/1278113941231742977
2020-06-30 23:50:37,bubba_wubba,,0,1,2,"Such a loving & tragic story. These 2 had many years ahead of them. I'm so angry at the @GOP for standing behind @realDonaldTrump. Politics cost over 127,000 people their lives. After 53 years of marriage, a Texas couple died holding hands from Covid-19 ",,@GOP @realDonaldTrump,,1278113742891384833,https://twitter.com/bubba_wubba/status/1278113742891384833
2020-06-30 23:50:32,CityofNRH,,0,7,15,"Given the continuing spread of COVID-19 in North Texas, the City of NRH has decided to cancel the remainder of NRH2O's 2020 operating season effective Tuesday, June 30, 2020, at 6 pm. All season passes purchased by June 14, 2020, have been automatically extended for use in 2021. ",,,,1278113721735360512,https://twitter.com/CityofNRH/status/1278113721735360512
2020-06-30 23:50:19,bernamaradio,,0,1,1,"#globalbuzz Harris County, where the fourth largest U.S. city of Houston is located, extended the mask order in all businesses for two more months as Texas added a record high of nearly 7,000 new #COVID-19 cases - Texas Harris County Judge Lina Hidalgo ",,,#globalbuzz #COVID,1278113670250115074,https://twitter.com/bernamaradio/status/1278113670250115074
2020-06-30 23:49:53,courageousgirl2,,0,0,3,"After 53 years of marriage, a Texas couple died from Covid-19 while holding hands ",,,,1278113560451842048,https://twitter.com/courageousgirl2/status/1278113560451842048
2020-06-30 23:49:34,omosweetpea,JohnCornyn,0,0,0,"RECORD BREAKING COVID CASES IN TEXAS and Comrade Cornyn remains SILENT",,,,1278113481116565505,https://twitter.com/omosweetpea/status/1278113481116565505
2020-06-30 23:49:09,luke_arkins,,0,0,0,"Not-so-fun fact: All but one of the #Mariners division rivals and potential inter-league opponents are based in one of the 10 states with the highest rising COVID-19 cases. Arizona California Texas",,,#Mariners,1278113375575175168,https://twitter.com/luke_arkins/status/1278113375575175168
2020-06-30 23:48:38,ChesterPitts,GinaGaston13,1,0,4,"If you apply to vote by mail in Texas and say you don't have an immunity to Covid 19, that is a legitimate reason to be given the right to vote by mail. PLEASE SHARE ",,,,1278113245866442758,https://twitter.com/ChesterPitts/status/1278113245866442758
2020-06-30 23:48:24,GreaterOleanTAP,,0,0,0,"Due to COVID concerns, NY is restricting travel from Alabama, Arkansas, Arizona, California, Florida, Georgia, Iowa, Idaho, Louisiana, Mississippi, North Carolina, Nevada, South Carolina, Tennessee, Texas and Utah. Story by @Mike_Hogan42 and @richleeonline",,@richleeonline,,1278113187855052807,https://twitter.com/GreaterOleanTAP/status/1278113187855052807
2020-06-30 23:48:02,MaramMPH,MaramMPH,0,0,4,"Austin Travis County has 558 new Covid-19 cases and 67 new hospital admissions. The curve isn’t bending!! #wearyourmask #Texas ",,,#wearyourmask #Texas,1278113093906808832,https://twitter.com/MaramMPH/status/1278113093906808832
